    Time	  Event	 Count	  SERVICE[ID[7]]	   SYSTEM[ID[7]]	        RATIO[0]	        RATIO[3]	       WAIT[ID[7]] 
    7.197	 DELIVER	     1 	   1.92 	   7.17 	      0 	      0 	      0 
   11.092	 DELIVER	     2 	   2.92 	   7.55 	      0 	      0 	      0 
   13.276	 DELIVER	     3 	   1.02 	   5.55 	      0 	      0 	      0 
   16.259	 DELIVER	     4 	   2.73 	   10.8 	      0 	      0 	      0 
   22.436	 DELIVER	     5 	   1.77 	   8.26 	      0 	      0 	      0 
   23.711	 DELIVER	     6 	  0.953 	   7.14 	      0 	      0 	      0 
   24.660	 DELIVER	     7 	   2.74 	   7.64 	      0 	      0 	      0 
   27.616	 DELIVER	     8 	   2.68 	   6.96 	      0 	      0 	      0 
   27.879	 DELIVER	     9 	  0.745 	   6.51 	      0 	      0 	      0 
   31.075	 DELIVER	    10 	   2.19 	   9.17 	      0 	      0 	  0.211 
   33.766	 DELIVER	    11 	   2.21 	   6.39 	      0 	      0 	      0 
   36.357	 DELIVER	    12 	   1.02 	   4.49 	      0 	      0 	      0 
   38.434	 DELIVER	    13 	   1.83 	    5.8 	      0 	      0 	      0 
   40.349	 DELIVER	    14 	   2.02 	   6.95 	      0 	      0 	      0 
   44.961	 DELIVER	    15 	  0.739 	   4.72 	      0 	      0 	      0 
   48.858	 DELIVER	    16 	    2.4 	   6.67 	      0 	      0 	      0 
   50.772	 DELIVER	    17 	   1.35 	   8.24 	      0 	      0 	      0 
   52.380	 DELIVER	    18 	   1.57 	   6.75 	      0 	      0 	      0 
   59.525	 DELIVER	    19 	  0.504 	   7.33 	      0 	  0.619 	      0 
   61.996	 DELIVER	    20 	   2.99 	   9.77 	      0 	  0.684 	      0 
   62.330	 DELIVER	    21 	   1.55 	     10 	      0 	  0.684 	  0.365 
   62.400	 DELIVER	    22 	   1.01 	   9.16 	      0 	  0.684 	   1.01 
   63.855	 DELIVER	    23 	   1.02 	   10.6 	      0 	  0.684 	   1.93 
   64.927	 DELIVER	    24 	   2.74 	   11.2 	      0 	  0.684 	   1.55 
   64.942	 DELIVER	    25 	   1.26 	   9.09 	      0 	  0.684 	  0.383 
   65.776	 DELIVER	    26 	   1.92 	   9.54 	      0 	  0.684 	   1.25 
   66.195	 DELIVER	    27 	   1.58 	   8.87 	      0 	  0.684 	   0.68 
   68.166	 DELIVER	    28 	  0.681 	   10.8 	      0 	  0.684 	   2.06 
   68.576	 DELIVER	    29 	  0.972 	   10.8 	      0 	  0.684 	   1.83 
   69.515	 DELIVER	    30 	   2.74 	   11.2 	      0 	  0.684 	   1.79 
   69.659	 DELIVER	    31 	   1.73 	   10.9 	      0 	  0.684 	   1.76 
   70.246	 DELIVER	    32 	   2.81 	   10.7 	      0 	  0.684 	   2.77 
   70.371	 DELIVER	    33 	  0.801 	   10.6 	      0 	  0.684 	   3.03 
   70.496	 DELIVER	    34 	   2.79 	   10.5 	      0 	  0.684 	   3.66 
   70.663	 DELIVER	    35 	  0.471 	   9.95 	      0 	  0.684 	    5.7 
   72.649	 DELIVER	    36 	   1.88 	   12.3 	      0 	  0.684 	   4.73 
   72.855	 DELIVER	    37 	   1.37 	   11.4 	      0 	  0.684 	    5.4 
   75.954	 DELIVER	    38 	   1.31 	   14.3 	      0 	  0.684 	   5.27 
   76.438	 DELIVER	    39 	   2.61 	     14 	      0 	  0.684 	   5.77 
   76.927	 DELIVER	    40 	  0.795 	   14.1 	      0 	  0.684 	   5.43 
   77.387	 DELIVER	    41 	   1.69 	   14.4 	      0 	  0.684 	   6.07 
   77.703	 DELIVER	    42 	   1.66 	   14.3 	      0 	  0.684 	   7.39 
   78.856	 DELIVER	    43 	   1.57 	   13.8 	      0 	  0.684 	    7.4 
   84.817	 DELIVER	    44 	   1.57 	     71 	      0 	  0.684 	    7.4 
   85.578	 DELIVER	    45 	   1.05 	   19.1 	      0 	  0.684 	   7.28 
   86.781	 DELIVER	    46 	  0.755 	   19.9 	      0 	  0.684 	   7.13 
   87.034	 DELIVER	    47 	  0.758 	     20 	      0 	  0.684 	   7.75 
   87.516	 DELIVER	    48 	   1.19 	   20.2 	      0 	  0.684 	   7.43 
   87.543	 DELIVER	    49 	  0.999 	   20.1 	      0 	  0.684 	   8.06 
   88.276	 DELIVER	    50 	   1.31 	   19.3 	      0 	  0.684 	      7 
   88.373	 DELIVER	    51 	   1.77 	   19.1 	      0 	  0.684 	   7.22 
   88.400	 DELIVER	    52 	   2.03 	     19 	      0 	  0.684 	   7.84 
   88.661	 DELIVER	    53 	   1.17 	   18.8 	      0 	  0.684 	   8.42 
   89.776	 DELIVER	    54 	  0.608 	   19.3 	      0 	  0.684 	   8.87 
   90.011	 DELIVER	    55 	  0.872 	   19.1 	      0 	  0.684 	   8.53 
   91.347	 DELIVER	    56 	  0.904 	     20 	      0 	  0.684 	   8.56 
   91.454	 DELIVER	    57 	   1.37 	   19.9 	      0 	  0.684 	   8.76 
   91.574	 DELIVER	    58 	   1.07 	   19.7 	      0 	  0.684 	   8.93 
   92.130	 DELIVER	    59 	   2.77 	   19.8 	      0 	  0.684 	   9.32 
   92.730	 DELIVER	    60 	   1.94 	   20.3 	      0 	  0.684 	   9.46 
   92.839	 DELIVER	    61 	   2.69 	   19.6 	      0 	  0.684 	   10.6 
   93.422	 DELIVER	    62 	   1.79 	   19.5 	      0 	  0.684 	   10.6 
   97.766	 DELIVER	    63 	   1.09 	   22.3 	   33.2 	  0.684 	   10.8 
   98.705	 DELIVER	    64 	   2.78 	   22.9 	   33.2 	   39.5 	   10.7 
   99.967	 DELIVER	    65 	   2.03 	   23.9 	   33.2 	   39.5 	   11.3 
  101.178	 DELIVER	    66 	   1.97 	   24.5 	   33.2 	   39.7 	   12.7 
  102.379	 DELIVER	    67 	    2.1 	   25.5 	   33.2 	   39.7 	   12.5 
  102.850	 DELIVER	    68 	   2.74 	   25.4 	   33.2 	   39.7 	   13.8 
  104.055	 DELIVER	    69 	  0.511 	   25.6 	   33.2 	   39.7 	     13 
  104.313	 DELIVER	    70 	  0.619 	   25.4 	   33.2 	   39.7 	   13.1 
  105.775	 DELIVER	    71 	   2.77 	   26.7 	   33.2 	   39.7 	   13.5 
  107.447	 DELIVER	    72 	   2.84 	   28.2 	   33.2 	   39.7 	   14.7 
  108.385	 DELIVER	    73 	  0.829 	   28.9 	   33.2 	   39.7 	   15.9 
  108.830	 DELIVER	    74 	   1.21 	   29.2 	   33.2 	   39.7 	   16.5 
  110.780	 DELIVER	    75 	   1.76 	   30.5 	   33.2 	   39.7 	   16.6 
  110.823	 DELIVER	    76 	   1.25 	   30.5 	   33.2 	   39.7 	     17 
  110.906	 DELIVER	    77 	   2.75 	   28.5 	   33.2 	   39.7 	   16.2 
  111.010	 DELIVER	    78 	   1.76 	   26.8 	   33.2 	   39.7 	   14.5 
  111.695	 DELIVER	    79 	  0.769 	   27.2 	   33.2 	   39.7 	     16 
  112.427	 DELIVER	    80 	   1.85 	   26.3 	   33.2 	   39.7 	   15.1 
  113.983	 DELIVER	    81 	   2.63 	     27 	   33.2 	   39.7 	   14.4 
  114.482	 DELIVER	    82 	   1.28 	   14.2 	   33.2 	   39.7 	   2.76 
  114.686	 DELIVER	    83 	   2.77 	     13 	   33.2 	   39.7 	   2.26 
  114.699	 DELIVER	    84 	   2.65 	   8.16 	   33.2 	   39.7 	      0 
  116.019	 DELIVER	    85 	   2.72 	   7.99 	   33.2 	   39.7 	      0 
  121.685	 DELIVER	    86 	   2.16 	   8.39 	   33.2 	   39.7 	      0 
  122.006	 DELIVER	    87 	   1.53 	   6.25 	   33.2 	   39.7 	      0 
  124.690	 DELIVER	    88 	   2.53 	   9.26 	   33.2 	   40.5 	      0 
  126.925	 DELIVER	    89 	   1.04 	   9.01 	   33.2 	   40.5 	      0 
  126.989	 DELIVER	    90 	   2.79 	   8.97 	   33.2 	   40.5 	      0 
  127.359	 DELIVER	    91 	   1.24 	   8.54 	   33.2 	   40.5 	  0.143 
  127.569	 DELIVER	    92 	   1.11 	    8.3 	   33.2 	   40.5 	  0.931 
  128.106	 DELIVER	    93 	      2 	   8.15 	   33.2 	   40.5 	  0.853 
  128.355	 DELIVER	    94 	  0.896 	   7.31 	   33.2 	   40.5 	   1.76 
  128.818	 DELIVER	    95 	   2.19 	   8.29 	   33.2 	   40.5 	   1.97 
  132.688	 DELIVER	    96 	  0.896 	    125 	   33.2 	   40.5 	   1.76 
  133.056	 DELIVER	    97 	  0.425 	   11.8 	   33.2 	   40.5 	   2.42 
  134.176	 DELIVER	    98 	   2.54 	   12.3 	   33.2 	   40.5 	   2.29 
  136.548	 DELIVER	    99 	   2.07 	   13.8 	   33.2 	   40.5 	   1.99 
  136.881	 DELIVER	   100 	   1.19 	     14 	   33.2 	   40.5 	    3.8 
